cells,avg_pi,sd_pi
10483,0.00231481481481482,0.0020046884346862
28535,0.00544464609800363,0.004732633325011
28535,0,0
28535,0.0215767634854772,0.0204964133364788
14100,0.00120772946859903,0.00176793491476184
14817,0,0
16661,0,0
28535,0.00291375291375291,0.00142744157504847
28535,0.00607164541590771,0.00210327966917896
28535,0.00731261425959781,0.00316645485844402
15597,0,0
24392,0.00144144144144144,0.00113955951717779
14100,0.0113765642775882,0.000985239367217792
14817,0.0393772893772894,0.0431356592906999
14100,0,0
14100,0,0
16661,0.0405092592592593,0.0350820476070085
28535,0.00727272727272727,0.00363636363636364
28535,0.0119705340699816,0.00613566528506729
28535,0,0
16661,0,0
14817,0.00549828178694158,0.0036041541174232
10483,0.00173611111111111,0.00190181443578183
15597,0,0
14817,0.00306372549019608,0.00334654040379706
15597,0,0
28535,0,0
28535,0.010331774660432,0.0200125314178481
42246,0,0
