cells,avg_pi,sd_pi
16661,0.0112893642305407,0.00571152220591701
16301,0.00125786163522013,0.00108934013054646
16660,0.0146604938271605,0.025290655427581
16661,0.00191570881226054,0.00173282381941243
16660,0,0
16660,0,0
16660,0.003584229390681,0.0017921146953405
16660,0.0131795716639209,0.00285346096798827
16660,0.00349040139616056,0.00382354315884933
16301,0.000848896434634975,0.000929919452470571
24392,0.0164075993091537,0.00497577212120481
10483,0.00105820105820106,0.000910754461189281
5560,0,0
16660,0.00169204737732657,0.00107014472425326
13028,0.00274223034734918,0.00300396283823674
16661,0.00161064425770308,0.00131301224186977
13028,0.00447239692522711,0.00235946093866305
14100,0.0189814814814815,0.0238356888859509
14817,0,0
14817,0.000705467372134039,0.000910754461189281
16660,0.00129954515919428,0.00112543912122734
16661,0.0548596112311015,0.0462917927658117
16661,0.00235910878112713,0.00277405117804937
24392,0.000705467372134039,0.000910754461189281
16661,0.00941915227629513,0.0133245467048783
