cell,latitude,longitude,median.pi.avg,median.pi.sd,median.pi.skew,mean.pi.avg,mean.pi.sd,mean.pi.skew,sd.pi.avg,sd.pi.sd,hill.zero.avg,hill.zero.sd,hill.one.avg,hill.one.sd,hill.two.avg,hill.two.sd,shannon.avg,shannon.sd
3525,-1577640.76914086,-3993567.13958461,0.0023409362315368037,7.941179631013688e-4,1.8935549264566631,0.0032362615666354597,8.266134137533312e-4,0.5124828840780162,0.0024256959805585843,8.555391005844028e-4,10,0,8.074480738625606,0.6755557497176143,6.749473755792957,1.030547355401371,2.0852734216083735,0.08259638130862289
3548,-1564799.82716935,2752657.08927783,0.0017521225888795487,9.55698434630688e-4,0.22331639577544105,0.0024037757973606345,8.625529222674577e-4,0.33578592743102026,0.002533100474380704,7.60353987546068e-4,10,0,5.665902584586068,1.235911348855953,4.914143600995386,1.1796744091797726,1.7077233654190858,0.24047045751970036
3552,-1556943.22641742,4214134.77623816,9.068822111312472e-4,9.990243857656458e-4,1.1194389149786224,0.002059800352566381,0.0011694456702907045,1.0388132694832635,0.0030640556302288587,0.0020895245148150753,10,0,4.163025490580857,1.3501963704763529,3.6124849733092503,1.3261523897962275,1.3680866264878786,0.3553942323376801
3553,-1548086.76323789,4286981.91782758,0.0019528828936103508,0.0013016605261117718,0.6468966968914812,0.0031933031915948253,0.0014099160448581402,0.9504189572684386,0.0038948185480552713,0.0020181421341044746,10,0,5.229664713404674,1.2312209970424144,4.418267727015748,1.2146018499231546,1.6238265043238493,0.2552948968208636
3554,-1670990.35221955,4781570.59039368,0.0026188145657449905,0.001369283718930603,1.3420783232484739,0.004642717304646182,0.0023109193201109428,1.3010580206398816,0.005987161916987759,0.003973201075623626,10,0,5.557488856408234,1.3732073911681195,4.492448377806422,1.4065783023936758,1.6805938977972348,0.2735821186410315
3555,-1733441.36311832,4834155.61313042,9.853890587835551e-5,2.0787617946218512e-4,1.9433933387771773,2.2827047230716976e-4,1.0016102589314636e-4,0.24133384842404793,3.168150528432801e-4,5.4428350743624914e-5,10,0,NA,NA,NaN,NaN,NA,NA
3580,-1667597.22876908,12616160.0604862,0.0019155062891836661,4.744020146338005e-4,0.8134452613793062,0.002399001600296262,6.195740769890123e-4,0.4267462895596381,0.0019023224103102267,8.009800676584782e-4,10,0,7.697683416507517,0.9369084406818152,6.5467987700661086,1.231867021713124,2.0332454945970806,0.1252589429461547
3581,-1590127.86785254,12669324.0009045,0.001689235675382072,9.54003096532278e-4,1.0150606992789866,0.0026181902271380252,9.585059855441093e-4,0.5170297530668712,0.0028308791244907243,0.0010306092629227617,10,0,5.978613309794443,1.0477346874899125,4.897951794182115,1.0880548092641034,1.7719992439898475,0.18317831456470726
3582,-1574025.85923965,13170377.2542474,0.0013027268361444255,6.090632139410449e-4,0.6174146027479105,0.001445107837791896,3.397252123798585e-4,0.12336246344498186,0.001098233186162114,1.607313516878939e-4,10,0,7.217300463911417,0.9439874147976387,6.430071125434052,0.9941801701374235,1.967462047790523,0.13653099993230797
3584,-1699314.00891511,13816835.3319284,0.002899521130436041,8.91571612945201e-4,0.2354011546117252,0.003534191330240284,0.001037936556194157,0.2550172458976953,0.0031316663632161585,0.001136957869339455,10,0,6.837667727850521,1.1710952329072428,5.919053168918755,1.248137035928047,1.9063806728042882,0.18462107107377476
3633,-1818278.52480921,-6479053.7188477,0.001385199582801932,6.139837731079103e-4,1.401247070478341,0.0020276325382402667,7.456684392847371e-4,0.5605040682405338,0.0021479574850129155,8.970613189519663e-4,10,0,6.126737601498236,1.2013227521486018,5.096771150104623,1.2453213516071961,1.7919771753961646,0.2083892451139621
3642,-1920733.12673126,-3794805.40226776,0.001237255331985968,0.001108889332649065,3.25744490050461,0.0032945598521428553,0.0018264553710717424,0.6962206193903394,0.005063954234971613,0.00266668560436607,10,0,4.201739977684064,1.1880376824969447,3.392323675582104,1.1338344874025015,1.3929456796632305,0.2996446224455428
3663,-1825734.70482704,2564827.24751341,0.00243055555555556,0,NaN,0.00243055555555556,0,NaN,0,0,10,0,9.999999999999998,0,10.000000000000002,0,2.3025850929940455,0
3666,-2023653.50336567,3391492.75081901,0.0025056371086493124,0.0013846338548498419,5.229924682073628,0.004971943462358611,0.0018454654874179917,0.42874329390543053,0.005423172907844294,0.0021507078001145874,10,0,6.671878710127114,1.1651915742415604,5.107579785223137,1.542809181194232,1.884424789583075,0.15941463878958134
3669,-2016657.71921112,4367451.47555683,0.001548204461190678,0.0011009652751053514,0.14664244074340024,0.0020818287434456522,7.261506354218714e-4,0.29046418035450916,0.0022265431002656405,5.580740071377275e-4,10,0,5.286686419640716,1.3375006719567086,4.78100338006755,1.2649672000599215,1.6287693046863403,0.2823480706863004
3670,-2071221.64332785,4803858.92113164,0.0023821307894666007,0.0014781499712003497,3.901516241774486,0.004951860350896135,0.0025434394253910503,0.9230048890618924,0.007100830097687534,0.00420213878758895,10,0,5.01805391868586,1.338159336613578,3.950307743972292,1.3594394377634624,1.5753130268230178,0.28141280892634246
3695,-1827799.33492804,12132956.7689897,0.002143374888356849,9.912981121663821e-4,5.489131032013301,0.0034616704017552194,0.0013151600470371703,0.5873579679540772,0.0037996280571933813,0.001513011961530543,10,0,6.492749284511385,1.1219392008118603,5.0374919124929125,1.440267424726431,1.8565761778857823,0.1660962125431394
3696,-2012017.33514447,12450975.5486967,0.0033608185684453964,0.0011513928232125908,0.73826078156199,0.004372331589976254,0.0012009007830612716,0.41885353742394965,0.0037269106990095602,0.001247408780935134,10,0,7.305916613074938,0.924510461756679,6.120604170065372,1.1038937220537903,1.9803148097539758,0.13129510010424914
3697,-1958321.32530456,12871848.7031511,0.0024182937151261733,0.0014250270210326955,2.1890324249570763,0.003810328370713556,0.0013438974807259236,0.4914372343719967,0.003923138728147104,0.001277171709994886,10,0,6.461070008526425,0.9207586393208791,5.13360798767185,1.0675086000790197,1.8553988831050325,0.14549679830049822
3698,-1858207.15833004,12978755.5016691,0.00529715762273902,0,NaN,0.00529715762273902,0,NaN,0,0,10,0,9.999999999999998,0,9.999999999999998,0,2.3025850929940455,0
