cell,latitude,longitude,median.pi.avg,median.pi.sd,median.pi.skew,mean.pi.avg,mean.pi.sd,mean.pi.skew,sd.pi.avg,sd.pi.sd,hill.zero.avg,hill.zero.sd,hill.one.avg,hill.one.sd,hill.two.avg,hill.two.sd,hill.three.avg,hill.three.sd,hill.four.avg,hill.four.sd,hill.five.avg,hill.five.sd,hill.six.avg,hill.six.sd,hill.seven.avg,hill.seven.sd,hill.eight.avg,hill.eight.sd,shannon.avg,shannon.sd
9120,4607413.61249625,-7634380.43857194,0.009723309613241199,0.003596890896082583,1.5684332240559797,0.014670854503208762,0.005113822791555493,0.5070140057984995,0.014632554719895679,0.00650259476284134,10,0,6.907631952348946,1.1374404384226908,5.530547952935786,1.3583523119888605,4.860612245445851,1.3709471643932603,4.493697264866553,1.3371562822850174,4.268352270382237,1.2978489305349432,4.117376489575178,1.2621607029894875,4.009630926600638,1.231616817263018,3.92908839647218,3.92908839647218,1.9182748461856358,0.1739139875796977
9121,4638039.43097798,-7559034.30232401,0.0033558933075313693,0.0018724211901084138,1.1444332771049557,0.004707941022968978,0.0017896892935453021,1.0133288664974576,0.004966566470264183,0.0021789054013405065,10,0,6.135818831033194,1.241783414180422,5.087702492520782,1.3344349323912033,4.571350788322485,1.3329787790567775,4.277312908568438,1.307102300078859,4.090355308194609,1.2780311188371558,3.9617917543124608,1.2515064853469593,3.868253088858705,1.228601934254291,3.7972716759351814,3.7972716759351814,1.7912409049422917,0.22433817333967876
9122,4673590.80811612,-7379560.17242932,0.004351031010933051,0.0019798058813543943,0.3885162714510178,0.006906097538709561,0.0028335674382583323,0.7339101117470734,0.00842395115881847,0.005132635577369232,10,0,6.058925169984715,1.3567541668376062,4.869241035029966,1.5638244685730291,4.356048792205269,1.5712997274234397,4.082639232192227,1.5400366439449227,3.9139990865993104,1.5047964177875892,3.799527511443098,1.4730563550737064,3.716605895999647,1.4458519001981287,3.6536840870156246,3.6536840870156246,1.7741597316453455,0.2426129815747428
9123,4694572.81968959,-7312521.504911,0.004644057132394158,0.0018870530984882062,0.25903010054470316,0.006997288246574909,0.003167122594716797,1.3000982027747578,0.00799743675254655,0.00576187506630518,10,0,6.350316653164583,1.3257188908251074,5.192470358247369,1.516093626741973,4.649299069498702,1.5039512048208714,4.341930423646408,1.4566261933994027,4.145784267775264,1.4107243195284773,4.010587385432255,1.3720417463308827,3.912184949995063,1.3402570681614028,3.837560523110542,3.837560523110542,1.8251538861910672,0.22255620757554606
9212,4679513.24717671,1594435.78114606,0.002437028295603969,9.994998385176865e-4,0.9094082282859042,0.003197150821600978,0.0010053665448453057,0.40429974142592306,0.0030462237961570754,0.0010014582329252412,10,0,6.560158529233237,1.173218617301859,5.544621750619343,1.2739181552979422,5.005613709322415,1.2828224662667562,4.688051392412313,1.2635625175364427,4.482786348843071,1.23886888804378,4.340459604110125,1.2154044154102472,4.236496503142009,1.1947576806039768,4.157515063479315,4.157515063479315,1.8640323335091682,0.18960416146247178
9428,4562718.42466553,-11560117.7231402,0.0025577885616856377,0.0012310748934640074,0.3499163783492275,0.003370990036964746,0.001119370586471708,0.3969147280392071,0.0033348885977465908,0.0010362959212919518,10,0,6.114673089407304,1.0899004380087431,5.253235961725295,1.0842389809368433,4.811525291618473,1.0730911601542166,4.5463300602538865,1.059795478098299,4.3711412764998085,1.046798317078149,4.247618952511429,1.034761906643005,4.156216784593444,1.0238333414119551,4.086012634270963,4.086012634270963,1.79394454184674,0.187592430522147
9441,4589768.45917991,-10236325.9580979,0.0015101085916334497,5.875425802555688e-4,0.6943520896084263,0.002733150311138267,9.591667970600415e-4,0.34688637042526677,0.003624627952302457,0.001594596092849616,10,0,5.464207511808053,1.3157002908023203,4.245341710437898,1.4492415635371936,3.733996059864672,1.4297472915181046,3.4775801492447047,1.3854937897939514,3.327394994136843,1.3437449267355543,3.2295842323693265,1.308708129790581,3.16113027183627,1.2801937123668867,3.110736144980895,3.110736144980895,1.6697810612901842,0.2403709973394037
9442,4578948.49395828,-10115718.1077842,0.0011900952666249762,8.815552245236026e-4,1.2619927604582162,0.0017417609178810346,6.60021991015297e-4,0.397519741712681,0.0018127387750809653,5.501564280424771e-4,10,0,5.655768252715913,1.2604966814597864,4.937707927543932,1.2178006071385974,4.573203431716551,1.190688738722609,4.3558812271004745,1.1668372992291423,4.2115097709885605,1.1466525980585252,4.108644293394968,1.1301695062261505,4.031751090592102,1.1168503058451087,3.972196429308399,3.972196429308399,1.7047988141639072,0.24775759576418394
9458,4530553.36058441,-8508642.62392531,7.287793726093529e-4,5.980724167463948e-4,2.3328064003721116,0.0022487518669692132,0.0011890376274564217,0.8066735236289682,0.0034885218480253184,0.001567513344504857,10,0,3.9749192471750403,1.1069389281065132,3.196992379286033,1.0579024514206856,2.8919255617678625,1.0073246566095977,2.7395325444817176,0.9716405429533514,2.650356913258635,0.9478359157593098,2.5927595097802167,0.9316493488283015,2.552921132907892,0.9201558830733333,2.5239010168804556,2.5239010168804556,1.3410620271228226,0.28382535042414414
9467,4564122.44632526,-7583821.62772047,0.0022276968805671005,0.0012038653332975217,1.4122505071506681,0.004684233662553581,0.0020135944660197684,0.5313114247053866,0.006687875745349654,0.004153774451345591,10,0,5.166638624172342,1.4013437830370765,4.125773773249805,1.4348091453028506,3.7015275294130827,1.377354666263205,3.4836157722330485,1.3241217587954601,3.353015898097767,1.2829074840429597,3.2662868481904437,1.2512679117910446,3.204473466945907,1.226513126036643,3.158133995927018,3.158133995927018,1.6033354700984552,0.2861962681123098
9469,4560110.24259186,-7382551.2471171,0.0037876009455818658,0.001908935711636035,0.6814874151451922,0.006615514779768047,0.002882131233253648,0.3972102124908712,0.007995310056449292,0.0039632057433412185,10,0,5.680799177493921,1.1393732505429943,4.513347627790117,1.19327727966458,4.001637251765096,1.1688146556092573,3.7316834318324967,1.133181737017992,3.567795507846816,1.1008273471415388,3.458272696319792,1.07374990067197,3.3800488401611744,1.0514211389056882,3.321442402041688,3.321442402041688,1.7148650357190982,0.21888744050427328
9470,4579448.84787372,-7312434.66725877,0.004510271252851359,0.0019555188012801046,1.452278144532588,0.0068690463645078356,0.0023724704733387946,0.6743259019164184,0.007124147991877523,0.002932488671675048,10,0,6.645939462425415,1.035815024732758,5.27189080545695,1.2267422562137158,4.638253491956084,1.2286526362601502,4.295081455542711,1.1956048636625882,4.084796559691899,1.1594275910619427,3.9440513850833523,1.1271651742951743,3.843707922118183,1.0999248796110712,3.7687665900333953,3.7687665900333953,1.8811395861770779,0.16472879476146834
9558,4547055.44114204,1444399.61535592,0.0021251137995003328,9.514937848728886e-4,0.40088800954090126,0.0027943975866634124,8.781258720759893e-4,0.5163904684170085,0.002724510117992525,9.008163757489296e-4,10,0,6.463331168440287,1.1154561580479092,5.4229618384113705,1.1364159480560725,4.866421370946862,1.114207084250621,4.537846451077926,1.0821985721055856,4.32660498071948,1.051439708541403,4.181277214512429,1.0247225646326836,4.0758840258603755,1.0022022311888048,3.9962398285404896,3.9962398285404896,1.8484634309027854,0.19871774243571547
9772,4496640.09171804,-11789176.1524558,0.0027368706597932888,0.0014323529762664039,0.8369657771020556,0.004138495743375084,0.0014208823235236311,0.09001294771529292,0.00418431217963322,0.0016602636920564355,10,0,6.615764181146849,0.9930038756927073,5.3280540166345,1.1211969166548925,4.739536668516294,1.1030537129802986,4.412462290669755,1.0701326224971526,4.20769480564421,1.0410540722542996,4.069403688002957,1.0176596429217795,3.970875287586702,0.99912167893719706,3.897740864493212,3.897740864493212,1.8779155741030729,0.15421572010301537
9773,4453909.57406267,-11691821.4956826,0.0021367273670005373,9.658229282794461e-4,0.793756879830389,0.0033622040229966035,0.0013454942103835448,0.7043327463579346,0.004029227381506939,0.0020905031587354914,10,0,5.798684535865049,1.1250868585724012,4.7175897660222095,1.2504216152205543,4.195287765927561,1.253871323969843,3.909156002454673,1.2186712939426934,3.732825626459869,1.1793298205170368,3.6145493462196856,1.14463091127044,3.5302784972057695,1.115889981783522,3.467499880762827,3.467499880762827,1.7370994122854202,0.21010299648231565
9775,4472000.95730048,-11481963.8361369,0.002392449474576868,0.0019530913227346126,1.4890393615577235,0.003838947048912961,0.0014072807494934084,0.4430472274621582,0.004432101643378853,0.0010909503427400837,10,0,5.11215383076619,1.116513552745653,4.405594388393839,1.0758463696078395,4.06459331998435,1.0566376454293094,3.873773280919715,1.0454218112542664,3.755504537245927,1.0368439576319064,3.6760767098606317,1.0293064148893052,3.6192251624286502,1.022451917856587,3.5764562604015215,3.5764562604015215,1.6067374079550412,0.22849476837293875
9810,4405834.49168756,-8006913.96662065,0.00343718908473047,0.0019065527901235405,0.629806241222822,0.004149119105557088,0.0012153158874049798,0.2063225129726821,0.0036566705868626764,8.80453561783324e-4,10,0,6.710386193579592,1.0306688250481675,5.7727040803893725,1.1385806736572264,5.32376412123409,1.17097801920677,5.060737023951959,1.1738367254575448,4.885304496903117,1.168206370321508,4.7595603385060965,1.1606753938297356,4.665363977425628,1.15320640938263,4.5925575368591325,4.5925575368591325,1.8909394838652542,0.16427376251968548
9887,4418928.67142073,-332009.290343335,0.0020878230177899817,8.085416006007525e-4,-0.0605501705964018,0.0029412036755426044,9.838008419604553e-4,-7.843354563108413e-4,0.0030894477732000413,0.001055595702507414,10,0,6.016892259561052,1.0684143855210957,5.01326416005648,1.012392241405271,4.465807919364564,0.9786182369082488,4.1491945055853146,0.9492457920671717,3.951355041072479,0.9262085847050128,3.818621332656313,0.9081254111798113,3.7242238582579685,0.8935621597129981,3.653930903136266,3.653930903136266,1.7767260676674608,0.1983438422605882
9912,4480189.04528826,2194966.38942764,0.002734198009234554,6.020031985164978e-4,0.3859655675352968,0.004134380282408475,0.0013362530542930556,0.5063821507587452,0.004210667442969178,0.001981300930220398,10,0,7.069805246686522,1.0963137096908033,5.555373013396866,1.4972696478332412,4.844200235087051,1.5769040957643432,4.472788139089952,1.5650220102310224,4.252299641956802,1.5332428821621262,4.108006636001855,1.4999990671607455,4.006657471558399,1.4698021575280853,3.9316682445198405,3.9316682445198405,1.9441223458610721,0.15329871757331415
10120,4393333.91896307,-11735433.294356,0.0016226026741120918,7.391800470542225e-4,1.5462908008778808,0.002190364981915702,6.521364555241833e-4,0.2549375493328928,0.001986172396775994,6.2535828734546e-4,10,0,6.806595742986279,0.9679960506092132,5.739943848764262,1.0414808893240335,5.180717039964828,1.0431819691322213,4.851738547840866,1.024405990995186,4.639009924670395,1.0033531706874212,4.491479802764328,0.9843580131969529,4.383690262992061,0.9680985500299303,4.301740962776555,4.301740962776555,1.907442476247558,0.14719730405439574
10145,4378862.07322927,-9257955.07635377,0.0018948243549856253,9.085123403805513e-4,0.3498742962647372,0.0025912883951194126,8.419922814604287e-4,0.2620463000738141,0.00252952321586485,9.473476510239062e-4,10,0,6.4172703500649275,1.1130398599533775,5.420211885470908,1.1507515507970996,4.907537981298583,1.1420934592700043,4.608857472913446,1.1206939514254028,4.416556288655601,1.097542391767428,4.283165094310763,1.0761595366327739,4.185390896908853,1.0573779171494684,4.1106877949015805,4.1106877949015805,1.8416518335840222,0.1966489218780909
10158,4332397.57363054,-7884569.36326251,0.0022003765297022486,0.0014503246130242737,0.7625505441006889,0.003187684946946696,0.0010351152341790248,0.10345106241312191,0.003197067213967355,9.269783801017372e-4,10,0,6.204972933614943,0.9338277303529742,5.166125055502619,1.0583635638732825,4.724206280055382,1.0751128884194487,4.479797079075126,1.0687596057968154,4.3220792001844845,1.0580847983188484,4.210830804996087,1.0470024185919056,4.1277690704394026,1.0364245249230757,4.063239711383688,4.063239711383688,1.813644232304608,0.15604884949740067
10162,4336839.12629287,-7473248.35055294,0.0040370544977648415,0.00178190579080082,1.0564222443013236,0.0048668358936938515,0.0012368599917333908,0.5433914696267405,0.003577054912301998,7.287470758427225e-4,10,0,7.757699491749221,0.5981604944062906,6.6287434006648445,0.8411284474237979,6.035663788470513,0.9373999292399344,5.684396365064192,0.9768268913882624,5.4540230173381765,0.9923282851452553,5.291484280157678,0.9969734060168994,5.170694782661361,0.9965514769374862,5.07746779674716,5.07746779674716,2.0457567763664026,0.07688829780273129
