"","cells","pi"
"305","742",0.00427480916030534
"306","834",0.00304130120643882
"307","519",0.0126811594202899
"308","521",0.00895998411526362
"309","576",0.00857612781954887
"310","577",0.0085725677830941
"311","580",0.0045462256149279
"312","634",0.00505544683626875
"313","686",0.00796324655436447
"314","744",0.00811770674784373
"315","411",0.00224604389994895
"316","467",0.00261101581856299
"317","523",0.00425716016267197
"318","576",0.00300873340400828
"319","631",0.0373525557011796
"320","686",0.00224900547481193
"321","744",0.0621874320504457
"322","467",0.0150205761316872
"323","521",0.0176850039863738
"324","522",0.0141093474426808
"325","576",0.0131002331002331
"326","577",0.020420877422423
"327","580",0.0112130479102956
"328","686",0.0162354134956875
"329","742",0.00795107033639144
"330","744",0.0190766108574328
"331","2071",0.0101936799184506
"332","410",0.00101471334348047
"333","411",0.00152671755725191
"334","467",0.0126578764746704
"335","521",0.00677083333333333
"336","522",0.0100456621004566
"337","523",0.00568239472349061
"338","576",0.0119233922050823
"339","577",0.0127647506604773
"340","579",0.0091324200913242
"341","689",0.0623052959501558
"342","744",0.0507356671740233
"343","834",0.00894077410407115
"344","2071",0.00502899877899878
"345","410",0.00584680712069247
"346","467",0.0056276053728578
"347","519",0.00605592966704078
"348","522",0.00716005633546863
"349","523",0.00605585636933599
"350","576",0.00687284253428659
"351","577",0.00694031437468878
"352","578",0.00753751409489114
"353","579",0.00664546062361975
"354","580",0.00765696784073507
"355","632",0.00759814897745932
"356","686",0.00720446473871131
"357","689",0.00710299340436327
"358","742",0.0030441400304414
"359","744",0.00718104827693869
"360","834",0.00578132559264635
"361","410",0.00309460654288241
"362","411",0.00429768882843788
"363","465",0.00172501268391679
"364","467",0.00194486724167089
"365","519",0.00077487200774872
"366","521",0.00409626216077829
"367","522",0.00560897435897436
"368","523",0.00178604357103343
"369","576",0.00454375327494573
"370","577",0.00712509000161413
"371","578",0.00702910488742449
"372","579",0.00232774674115456
"373","580",0.00636859323882225
"374","632",0.00758759043031541
"375","634",0.00209920433384121
"376","686",0.00547945205479452
"377","689",0.00558092338914257
"378","742",0.00853658536585366
"379","744",0.00453853604538536
"380","834",0.0055677039529016
"381","410",0.0161187641377816
"382","411",0.0199137493658042
"383","458",0.0164890918315576
"384","467",0.0111069792028422
"385","519",0.0134075595431125
"386","521",0.0101781170483461
"387","522",0.00956729723853011
"388","523",0.0111988191503016
"389","576",0.0120241827138379
"390","577",0.0110700735676961
"391","578",0.0114000071924336
"392","579",0.0132190067881386
"393","580",0.0109482229164998
"394","631",0.00987654320987654
"395","632",0.0103393972305186
"396","686",0.0125376518070582
"397","689",0.0125328083989501
"398","742",0.0133437990580848
"399","744",0.0135555234239445
"400","834",0.00934267180240438
"401","777",0.00671259494788907
"402","2231",0.00182370820668693
"403","2237",0
"404","2227",0
"405","2282",0.00160771704180064
"406","2110",0
"407","2110",0
"408","3095",0
"409","2231",0.00303951367781155
"410","2231",0.00810536980749747
"411","2067",0.0276854928017719
"412","972",0
"413","1623",0.00605581885202738
"414","1683",0.000655307994757536
"415","2071",0.000789889415481833
"416","2076",0
"417","1683",0
"418","2231",0.0815899581589958
"419","1624",0.0431125131440589
"420","1679",0.0565240359218172
"421","1688",0.0431125131440589
"422","1801",0.00102249488752556
"423","1856",0.00157977883096367
"424","1910",0.07280163599182
"425","1911",0.00122699386503067
"426","1915",0.0202020202020202
"427","2077",0.0238345601121626
"428","2079",0.000901306894997747
"429","2130",0.0105820105820106
"430","2509",0.0235690235690236
"431","631",0.14734375
"432","2068",0.015817223198594
"433","1797",0.0120385232744783
"434","1848",0.0174271955973401
"435","1964",0.00505282498851631
"436","2067",0
"437","2072",0.0127970749542962
"438","2124",0.0248025276461295
"439","2233",0
"440","1804",0.0217028380634391
"441","1691",0
"442","1692",0.00135363790186125
"443","1964",0.00114351057747284
"444","2072",0.00224845418774592
"445","2073",0.00754716981132075
"446","2129",0.0068259385665529
"447","2509",0.00488195278111244
"448","2610",0.00310880829015544
"449","2282",0.00526592943654555
"450","2939",0.000438212094653812
"451","2455",0.0141325536062378
"452","2231",0.0656441717791411
"453","1683",0.00157977883096367
"454","2337",0.00364672364672365
"455","1641",0.00163934426229508
"456","1801",0.00340136054421769
"457","2012",0.00237341772151899
"458","2127",0.00737230121116377
"459","233",0.00523560209424084
"460","2341",0.00102249488752556
"461","1683",0.000971547536433033
"462","1633",0.000882352941176471
"463","2233",0.0234044801352494
"464","1529",0.00315955766192733
"465","2130",0.000582241630276565
"466","2075",0.0119047619047619
"467","2129",0.00383435582822086
"468","1529",0.000789889415481833
"469","1623",0.00315457413249211
"470","1641",0.00561797752808989
"471","1688",0.000977517106549365
"472","1692",0.00945017182130584
"473","1801",0.00273204903677758
"474","1911",0.00171232876712329
"475","2012",0.00261194029850746
"476","2067",0.0083940799646565
"477","2068",0.000875656742556918
"478","2072",0.0157181571815718
"479","2073",0.00506912442396313
"480","2127",0.014936247723133
"481","2129",0.00260869565217391
"482","2130",0.000789889415481833
"483","2341",0.00720610824975151
"484","2509",0.00149136577708006
"485","2563",0
"486","2610",0.00147874306839187
"487","2722",0.00644171779141104
"488","2291",0.0821256038647343
"489","2292",0.000470698987997176
"490","233",0.00502197112366604
"491","1623",0.00315457413249211
"492","2233",0.00348432055749129
"493","521",0.0504095778197858
"494","2129",0.00265486725663717
"495","2130",0.000903954802259887
"496","1964",0.00319858712715856
"497","2021",0
"498","2182",0.042654028436019
"499","2183",0.0205371248025276
"500","2237",0.00941915227629513
"501","1911",0
"502","1912",0
"503","1964",0.0127450189561991
"504","2341",0.00978260869565217
"505","1633",0.00791788856304985
"506","1688",0.0109604519774011
