"","cells","median.pi.avg","median.pi.sd","mean.pi.avg","mean.pi.sd","hill.zero.avg","hill.zero.sd","hill.one.avg","hill.one.sd","hill.two.avg","hill.two.sd","shannon.avg","shannon.sd"
"45",1081,0.00232804017727046,0.00100506436503117,0.00575355382780754,0.00223712678346911,10,0,4.51739797488664,1.02776558124266,3.475974586159,1.01726467004738,1.48066539550192,0.238086490914028
"46",1084,0.00451328162247678,0.00101496175118289,0.00705061420403438,0.00292363654785427,10,0,5.7465006772383,1.79092113212411,4.61098299241017,2.15514876364234,1.69676700875211,0.327520868397466
"47",1087,0.000445488287819982,0.000618952664097652,0.0242298451228188,0.0172157068527733,10,0,2.0195517422727,0.61722166772596,1.68298106296953,0.530981059158602,0.65695628156147,0.304018537013204
"48",1136,0.00284795612275639,0.00116501155310282,0.00502848566848997,0.00208207590789742,10,0,5.09734668359215,1.41297327856168,4.05939195942054,1.67289656147526,1.5890380593803,0.284947181093095
"49",1331,0.00165440441365237,0.000668405362413658,0.00566485650540331,0.00347500762550204,10,0,3.966404724818,1.44032686054343,3.12584947885935,1.38215967734531,1.30752511726847,0.382261289460905
"50",1385,0.000875866938898407,0.000380090461406495,0.00178894660909042,0.000599142652022051,10,0,4.53453394310051,0.886545889678074,3.66830581541915,0.826684081990239,1.49210127464214,0.200471057560303
"51",1438,0.0011452326637478,4.31883127874055e-05,0.00123646614710313,0.000146859969479152,10,0,6.66617358956108,0.549768993664957,5.88300335298947,0.574199104781055,1.8937319170565,0.0809730137360746
"52",1441,0.000622409958738374,0.000383405827334116,0.00152688499293899,0.000344394752986206,10,0,4.11411382676751,0.577187309051182,3.42605672239395,0.511785659412831,1.40430922983175,0.143613391450735
"53",1500,0.0024470746710757,0.00150658915585066,0.00662795214493814,0.00299263030986509,10,0,4.61892076943958,1.09378527004384,3.48324807375032,1.03448707724199,1.50032632163706,0.250069006694867
"54",1555,0.00173893308480949,0.000777919405160008,0.00471318779803389,0.00353207627382297,10,0,4.81595197269016,1.83270434363409,3.87498840464996,1.84816357888713,1.48918934371647,0.42318615054596
"55",1587,0.00118690296769721,0.000451303605316048,0.00142526895148615,0.000322412523583382,10,0,6.99514026968741,0.878550954738775,6.10932658955392,0.9210075846989,1.93702833540874,0.129515643927429
"56",1668,0.00205658884277269,0.0012749469119494,0.0112808222336043,0.00469137818012918,10,0,3.57486948122132,0.935685907502456,2.585718298142,0.782828232024652,1.24146948551891,0.253311470202274
"57",1688,0.00530488650547825,0,0.00866467790744404,0,10,0,4.63933878881901,0,3.3232187540053,0,1.53457185367403,0
"58",1691,0.00137358890113326,0.000313651511607125,0.0103969342173249,0.00504026422977042,10,0,3.01266162891964,0.988063968137507,2.30761839019223,0.960405018855793,1.05971739593828,0.284625674975719
"59",1723,0.00167917598231736,0.0011909359352114,0.00409788237306795,0.00239943879520568,10,0,4.1694501890106,1.31354038474713,3.46002114050754,1.36304549064138,1.3749634022933,0.332834129732641
"60",1797,0.000937954899747353,0.000379539143657625,0.00202758878918453,0.000345031445327697,10,0,3.82354460209774,0.45941356052788,2.91063024690937,0.567653831730002,1.33401476178525,0.119606340560372
"61",1801,0.00119433289954762,0.000467610953501057,0.00408485920519676,0.00198704593557957,10,0,3.50559485893748,1.59164443144524,2.79237351401515,1.69012578761353,1.16124856786532,0.420132404526647
"62",1804,0.00245617691060786,0.000433913806436856,0.00671300592356494,0.00187210177308628,10,0,4.10220254179197,0.811630882403073,2.86767442291991,0.808289071306074,1.394774258731,0.17742874001433
"63",1805,0.00277638248690715,0.000796520274068323,0.0127812159659251,0.00644595508804619,10,0,3.5453705094236,1.29619272889718,2.60999353201165,1.15476253294963,1.20086118832022,0.358094878556155
"64",1836,0.00238941053588733,0.00130449476346082,0.00488265328783084,0.0017820857528049,10,0,5.0069271823956,1.07687356472025,3.81799850913004,1.12442370947028,1.58725400069236,0.21926511922772
"65",1837,0.00136265117412438,0,0.0102928901767365,0,10,0,2.86497469157549,0,2.33090626394667,0,1.05255951647166,0
"66",1892,0.001104516128688,0.000220609982818418,0.00424765269175145,0.00190630337900216,10,0,3.28014842583404,1.66577935640167,2.51181511209063,1.62885880842101,1.08139665896266,0.438173772906668
"67",1912,0.00334372676660866,0.000951381650113691,0.0132256754056853,0.00484965215585878,10,0,3.73229980631593,0.779758223860378,2.80802235080211,0.760040202337387,1.29676678093095,0.199227901726385
"68",1964,0.00412570605783743,0,0.0126160690116978,0,10,0,4.03328199928375,0,2.83458235235363,0,1.39458043640328,0
