"","V1"
"880",2114738
"881",7776799
"882",2529632
"883",5239851
"884",2423443
"885",2423441
"886",1340542
"887",1340513
"888",1340298
"889",3088395
"890",2484608
"891",8050384
"892",5721772
"893",2668884
"894",1032852
"895",7577086
"896",1014399
"897",1838811
"898",8187261
"899",5743466
"900",5856482
"901",4427588
"902",1575603
"903",4450663
"904",7758879
"905",4344983
"906",1376850
"907",4354937
"908",4354950
"909",4354941
"910",5200757
"911",3517396
"912",8047779
"913",2583449
"914",2583468
"915",2583432
"916",2583445
"917",2583473
"918",2583108
"919",4532146
"920",2266586
"921",2266574
"922",2266593
"923",4422493
"924",1032751
"925",1032750
"926",7910118
"927",2705851
"928",2285737
"929",4374596
"930",4984081
"931",2078544
"932",7688517
"933",2078547
"934",1246858
"935",1246684
"936",1246366
"937",2077522
"938",1020936
"939",4441504
"940",9732258
"941",1317348
"942",1317293
"943",1317320
"944",2153442
"945",7793521
"946",9181882
"947",4451384
"948",4451390
"949",4458863
"950",1195684
"951",4423648
"952",1488930
"953",1488968
"954",1488850
"955",4520719
"956",1488908
"957",1488856
"958",1488673
"959",1488558
"960",1488827
"961",4812260
"962",5854272
"963",5200325
"964",5200315
"965",2308574
"966",5232437
"967",5232452
"968",5232452
"969",5232464
"970",5232445
"971",4452928
"972",1489081
"973",1489080
"974",7931988
"975",3203913
"976",2130874
"977",2131090
"978",2131024
"979",2131035
"980",8297544
"981",2703760
"982",2703721
"983",2703663
"984",2703740
"985",2703647
"986",2703746
"987",2479562
"988",5361944
"989",1167007
"990",1047568
"991",4461643
"992",4461664
"993",6950919
"994",4461677
"995",1370756
"996",5752150
"997",5752153
"998",5752155
"999",5752143
"1000",5009537
"1001",5752157
"1002",5752137
"1003",5959092
"1004",2494394
"1005",4535888
"1006",5233411
"1007",2020779
"1008",2212099
"1009",3173338
"1010",5217132
"1011",7856206
"1012",7665662
"1013",4984851
"1014",8373396
"1015",7668385
"1016",8428595
"1017",6520353
"1018",3050364
"1019",5188632
"1020",1973414
"1021",6003731
"1022",8401448
"1023",2209765
"1024",5889643
"1025",9680062
"1026",5228451
"1027",4309816
"1028",2234644
"1029",5143677
"1030",2882443
"1031",2479888
"1032",2479888
"1033",8094357
"1034",4484176
"1035",2012934
"1036",4556373
"1037",1932752
"1038",1873919
"1039",1873890
"1040",1873903
"1041",2205843
"1042",4451849
"1043",3373506
"1044",2958468
"1045",4308862
"1046",8953936
"1047",9751099
"1048",2128578
"1049",1068879
"1050",1169140
"1051",4331916
"1052",4334330
"1053",2114201
"1054",4334328
"1055",4334322
"1056",5178365
"1057",5730505
"1058",1365139
"1059",8042751
"1060",2116062
"1061",4330389
"1062",1420526
"1063",2869101
"1064",1152186
"1065",2225650
"1066",2225646
"1067",2386919
"1068",5228080
"1069",1502577
"1070",1502691
"1071",5729391
"1072",6097854
"1073",5219542
"1074",5219541
"1075",8402883
"1076",2498384
"1077",5108671
"1078",2433487
"1079",2437394
"1080",2437399
"1081",1047341
"1082",1047343
"1083",1047342
"1084",4360210
"1085",2512991
"1086",4480198
"1087",4480205
"1088",6899681
"1089",2563232
"1090",5896353
"1091",2014649
"1092",5104903
"1093",5104862
"1094",5104781
"1095",4360289
"1096",5414566
"1097",7242545
"1098",4427083
"1099",2301629
"1100",8256670
"1101",1749449
"1102",5411375
"1103",5186124
"1104",2119537
"1105",2119500
"1106",4536759
"1107",1313740
"1108",5281847
"1109",5856069
"1110",2222075
"1111",5219173
"1112",8034409
"1113",5361880
"1114",5249504
"1115",2110920
"1116",2318168
"1117",4287019
"1118",2441050
"1119",2441056
"1120",2441055
"1121",5178057
"1122",5178082
"1123",5375388
"1124",1036779
"1125",4470480
"1126",4471042
"1127",8056040
"1128",2480989
"1129",1764981
"1130",4286942
"1131",2366645
"1132",2366634
"1133",1411953
"1134",1044673
"1135",4433161
"1136",5376961
"1137",2490384
"1138",1317116
"1139",1317123
"1140",8384845
"1141",4429152
"1142",6974194
"1143",2494686
"1144",5845582
"1145",6101015
"1146",8185959
"1147",2156163
"1148",1039693
"1149",1039716
"1150",1039734
"1151",1039712
"1152",1039742
"1153",4440144
"1154",1205821
"1155",3084842
"1156",2494514
"1157",9547586
"1158",5018713
"1159",1044114
"1160",4453192
"1161",1044111
"1162",4453187
"1163",1044109
"1164",1044106
"1165",4453189
"1166",4453195
"1167",4453205
"1168",4453190
"1169",4453191
"1170",1947335
"1171",4451136
"1172",4451122
"1173",1044381
"1174",4451134
"1175",4451127
"1176",4451136
"1177",9733946
"1178",2083838
"1179",2225568
"1180",1047737
"1181",4413915
"1182",2307856
"1183",2264603
"1184",2439838
"1185",2891932
"1186",2891930
"1187",7417428
"1188",4463346
"1189",1477289
"1190",2481930
"1191",1043837
"1192",1229687
"1193",1043964
"1194",4445084
"1195",1919346
"1196",4286868
"1197",2359014
"1198",2666539
"1199",2643120
"1200",2643131
"1201",2643093
"1202",2643072
"1203",2643172
"1204",1006197
"1205",1201254
"1206",5219702
"1207",7477334
"1208",4543430
"1209",4543438
"1210",8104460
"1211",4369982
"1212",1004629
"1213",1004642
"1214",1004661
"1215",1004698
"1216",1005938
"1217",5963673
"1218",4109540
"1219",5289739
"1220",5289731
"1221",5828219
"1222",5828220
"1223",5828232
"1224",2131294
"1225",3128962
"1226",3129000
"1227",3129064
"1228",3128091
"1229",3128888
"1230",3127727
"1231",5391292
"1232",6528791
"1233",2441533
"1234",1365193
"1235",2383720
"1236",2114733
"1237",6894283
"1238",4492374
"1239",4492381
"1240",4492365
"1241",4492369
"1242",4492379
"1243",1358491
"1244",1587323
"1245",4435337
"1246",4484283
"1247",8806844
"1248",5820507
"1249",5998035
"1250",5276850
"1251",1388028
"1252",1388013
"1253",2074364
"1254",2074369
"1255",2074362
"1256",5039868
"1257",2138356
"1258",1626096
"1259",5252354
"1260",5252313
"1261",5252364
"1262",2315832
"1263",2882404
"1264",1417170
"1265",2651586
"1266",7559942
"1267",1023385
"1268",2234642
"1269",5264574
"1270",5264768
"1271",8062589
"1272",7672129
"1273",1034478
"1274",1034437
"1275",4434267
"1276",1034447
"1277",9379028
"1278",4434272
"1279",1034424
"1280",2299122
"1281",4362829
"1282",4363108
"1283",4363120
"1284",9487869
"1285",4362898
"1286",2299100
"1287",4362872
"1288",7831843
"1289",4362895
"1290",1031680
"1291",1552561
"1292",7953279
"1293",2092472
"1294",2092435
"1295",8188295
"1296",2092339
"1297",9206047
"1298",2440958
"1299",2440958
"1300",2440954
"1301",2440954
"1302",7987477
"1303",9801477
"1304",9320636
"1305",1383849
