cells,avg_pi,median_pi,sd_pi,var_pi,richness,hill_1,hill_2,hill_3,hill_4,hill_5,hill_1_c,hill_2_c,hill_3_c,hill_4_c,hill_5_c,hill_1_r,hill_2_r,hill_3_r,hill_4_r,hill_5_r
129,0.00262777390105385,0.00135034386213274,0.00301708192872517,9.10278336464001e-06,294,160.591545660172,127.065490643961,110.565904174114,160.591545660172,160.591545660172,0.546229747143441,0.432195546408029,0.376074503993585,0.342258509191298,0.318642211173213,5.8618546696331,4.87918313636886,4.31251503860696,4.02760252255392,3.72489560493375
130,0.00318333547336836,0.00126646403242148,0.00432512240116412,1.87066837850517e-05,18,8.45164597978775,6.56109234475853,5.63048322160537,8.45164597978775,8.45164597978775,0.469535887765986,0.364505130264363,0.31280462342252,0.283646368707032,0.265540823135013,5.17510750686942,4.28122812339208,3.89093804881999,3.58849706067781,3.34811033531481
131,0.0030228695555717,0.00156669519382819,0.00385945335450127,1.48953801955711e-05,89,47.5908052486009,34.076392405412,27.2814167903732,47.5908052486009,47.5908052486009,0.534728148860684,0.382880813543955,0.306532772925542,0.26411290189139,0.238226029909378,5.89302247558355,4.99404765137141,4.23508919462805,3.96922864401165,3.91655588079215
135,0.00341673763032407,0.00178549392291923,0.00386000132049488,1.48996101942222e-05,87,50.7289468710838,38.467888235279,32.6159840225588,50.7289468710838,50.7289468710838,0.58309134334579,0.442159634888264,0.374896368075388,0.333367003796796,0.303624240513098,6.3001050794378,5.01285528697127,4.53672553375292,4.18706716071688,3.97427828648205
137,0.00241573432995533,0.00122235988140488,0.00287126604358298,8.24416869303268e-06,14,7.45299727761984,6.05591711522591,5.47662191194386,7.45299727761984,7.45299727761984,0.532356948401417,0.432565508230422,0.391187279424561,0.370361778665135,0.358074656148731,5.6190113454805,4.85349831805982,4.42796128257117,4.0493012809816,3.98598316606743
154,0.00101475225741489,0.000683373064325445,0.00142207083406352,2.02228545709411e-06,21,10.5433806832272,7.31606873037766,5.65867574028136,10.5433806832272,10.5433806832272,0.502065746820343,0.348384225256079,0.269460749537208,0.231213219845466,0.211037236818534,5.38067319813161,4.71333363128726,4.48143095765572,3.9381776490633,3.86186904752365
180,0.00618164451285273,0.00609493722408685,0.00500504653253353,2.50504907928259e-05,10,6.82621143333853,6.28931524894838,5.97416168720622,6.82621143333853,6.82621143333853,0.682621143333853,0.628931524894838,0.597416168720622,0.576189635137589,0.56076264101032,6.95925837001344,6.49071891582758,5.83662033568976,5.83039441920062,5.69543115162401
181,0.00259667610917321,0.00139129784704229,0.00331947651042935,1.10189243032922e-05,100,51.0758471170196,38.199254335067,32.182905007055,51.0758471170196,51.0758471170196,0.510758471170196,0.38199254335067,0.32182905007055,0.288932793314915,0.268379063348152,5.50321538699409,4.5027980538206,3.97035654063616,3.75830221017633,3.55955298312065
182,0.00400770645889862,0.00225852431741612,0.00418454628469479,1.7510427608753e-05,57,34.759375197008,27.521997045833,23.9585785438001,34.759375197008,34.759375197008,0.609813599947509,0.482842053435666,0.420325939364914,0.381345011140213,0.353539511394555,6.51219624278183,5.32636049754088,4.62849632064655,4.50613367009875,4.27287140118889
183,0.00375319970071569,0.00228609860531584,0.00484050925538499,2.34305298514677e-05,73,38.439845003084,27.6457979836579,21.2682796883417,38.439845003084,38.439845003084,0.526573219220329,0.378709561419971,0.291346297100571,0.240164995082595,0.210200245243816,5.7877374822075,5.01340759252043,4.53439942912769,4.18950886854192,3.98600978141682
184,0.0045452441293813,0.00341000521853795,0.00434086063618324,1.88430710627652e-05,62,41.5184342765504,32.6766733193619,26.9885241142896,41.5184342765504,41.5184342765504,0.669652165750813,0.527043118054224,0.435298776036929,0.37449191759033,0.334885397510615,6.8925812069097,6.13727890937886,5.49270615365037,5.02003708288386,4.83096425704893
185,0.00231843031402716,0.00121580547112462,0.00357068893330394,1.27498194584192e-05,49,22.4298750712126,14.7430560829504,11.3625678371322,22.4298750712126,22.4298750712126,0.457752552473726,0.300878695570417,0.231889139533311,0.19833729423739,0.179433946297639,5.4033953232352,4.14705245362196,4.08941502623896,3.71495840092599,3.53383493609644
242,0.00373678250650268,0.00243161094224924,0.00412549181410393,1.70196827082385e-05,23,13.4325331475708,10.6192822089725,9.13169931398414,13.4325331475708,13.4325331475708,0.584023180329166,0.461707922129238,0.397030404955832,0.359155290467605,0.334829545271761,6.1462242801755,5.08062889749426,4.50137768550898,4.39275531002328,4.24876159475291
243,0.00281920275649242,0.00182370820668693,0.0031198165130685,9.73325507521487e-06,15,8.54220552840997,6.99956750541144,6.16363717746606,8.54220552840997,8.54220552840997,0.569480368560665,0.466637833694096,0.410909145164404,0.375414277017835,0.351296927658145,5.8915721633827,4.97314102651079,4.82082541528121,4.37441247443774,4.16191189693458
244,0.00319447790098771,0.000861716270651445,0.00391811051398743,1.53515899998189e-05,12,6.2094390177648,5.04413107636019,4.64146522811612,6.2094390177648,6.2094390177648,0.5174532514804,0.420344256363349,0.386788769009676,0.369247657067792,0.357811176752971,5.32062702622266,4.43594291150317,4.21946794430914,4.3250474952977,3.67511518782362
246,0.00255755476060838,0.00128718589043737,0.0033001692630072,1.08911171644975e-05,1328,686.515164105501,498.540030598475,403.628208054782,686.515164105501,686.515164105501,0.51695418983848,0.375406649547044,0.303936903655709,0.260719730090373,0.23091195825321,5.74097734011205,4.52378888793841,4.19463300011567,3.89698267663361,3.62846781280385
247,0.00279196527622987,0.00145182366732004,0.00380880015114754,1.45069585913815e-05,249,128.082586332579,87.2591582400773,65.0044380305825,128.082586332579,128.082586332579,0.514387896917989,0.350438386506334,0.261062000122821,0.208533145856691,0.176515790792201,5.72976134465319,4.77020799852942,4.11948886892897,3.90720074302399,3.64613020589459
250,0.00308059676045987,0.00165148426903452,0.00379542071062027,1.44052183706053e-05,705,371.102106143683,280.232149948554,233.841671566327,371.102106143683,371.102106143683,0.526385966161253,0.397492411274545,0.331690314278479,0.291500604446026,0.26340064446008,5.40287304924032,4.58557930219065,4.23442994227236,3.97713730766668,3.855034213772
254,0.00333900170522208,0.00135273391319904,0.00534257695698338,2.85431285412898e-05,30,12.5344085742807,8.63352065715741,7.13466628972294,12.5344085742807,12.5344085742807,0.417813619142691,0.287784021905247,0.237822209657431,0.21331502752331,0.198700834131267,4.87835854685557,3.98984702662962,3.53480981342505,3.12627829970439,3.32069083400961
264,0.00193668039976268,0.000734769943367892,0.00268918067135606,7.23169268319502e-06,67,31.4855464798129,23.109039835067,19.2616229673926,31.4855464798129,31.4855464798129,0.469933529549446,0.344911042314432,0.287486909961084,0.256595704078805,0.237716657370604,5.19221094454,4.06062947133537,3.61251249518764,3.71083937483016,3.55306477549239
